City;Latitude;Longitude;Country
De Blaak;51.54626;5.04465;NL
De Bilt;52.11;5.18056;NL
Dauwendaele;51.49299;3.62624;NL
Damwald;53.29046;5.99785;NL
Dalfsen;52.51167;6.25694;NL
Culemborg;51.955;5.22778;NL
Cranendonck;51.30417;5.58889;NL
Coevorden;52.66103;6.74046;NL
Coevering;51.41742;5.57463;NL
Castricum;52.54833;4.66944;NL
Carnisse;51.88932;4.47758;NL
Capelle aan den IJssel;51.92917;4.57778;NL
Bussum;52.27333;5.16111;NL
Bunnik;52.06667;5.19861;NL
Bunde;50.89667;5.73194;NL
Buitenpost;53.25166;6.14483;NL
Budel;51.27167;5.575;NL
Brunssum;50.94667;5.97083;NL
Brummen;52.09;6.15556;NL
Broek op Langedijk;52.67417;4.80556;NL
Broekhoven;51.54801;5.09175;NL
Breukelen;52.17417;5.00139;NL
Breda;51.58656;4.77596;NL
Boxtel;51.59083;5.32917;NL
Boxmeer;51.64667;5.94722;NL
Boskoop;52.075;4.65556;NL
Borssele;51.42333;3.73472;NL
Borne;52.30136;6.7482;NL
Borculo;52.11583;6.52222;NL
Bolsward;53.06555;5.53176;NL
Bolnes;51.895;4.57917;NL
Boekel;51.60333;5.675;NL
Bodegraven;52.0825;4.75;NL
Bloemhof;51.89723;4.49943;NL
Bloemendaal;52.02878;4.6944;NL
Bleiswijk;52.01083;4.53194;NL
Blaricum;52.2725;5.24167;NL
Bladel;51.36833;5.22083;NL
Bilgaard;53.21551;5.79574;NL
Biddinghuizen;52.455;5.69306;NL
Beverwijk;52.48333;4.65694;NL
Beuningen;51.86083;5.76667;NL
Best;51.5075;5.39028;NL
Burgum;53.19243;5.99009;NL
Bergschenhoek;51.99;4.49861;NL
Berghem;51.76991;5.56827;NL
Bergeyk;51.31917;5.35833;NL
Bergen op Zoom;51.495;4.29167;NL
Benthuizen;52.0775;4.54444;NL
Bennekom;51.99833;5.67639;NL
Bennebroek;52.32083;4.59861;NL
Bemmel;51.89167;5.89861;NL
Beilen;52.86333;6.51389;NL
Beek;51.5289;5.63382;NL
Beek;50.94083;5.79722;NL
Bedum;53.30083;6.60278;NL
Bavel;51.56583;4.83056;NL
Barneveld;52.14;5.58472;NL
Bargeres;52.76152;6.88145;NL
Barendrecht;51.85667;4.53472;NL
Baarn;52.21167;5.2875;NL
Baarlo;51.33083;6.09444;NL
Axel;51.26667;3.90833;NL
Asten;51.40417;5.74861;NL
Assen;52.99667;6.5625;NL
Arnhem;51.98;5.91111;NL
Arnemuiden;51.50167;3.675;NL
Arcen;51.47667;6.18056;NL
Appingedam;53.32167;6.85833;NL
Apeldoorn;52.21;5.96944;NL
Angelslo;52.7809;6.92645;NL
Amsterdam;52.37403;4.88969;NL
Amstelveen;52.30083;4.86389;NL
Amersfoort;52.155;5.3875;NL
Amerongen;52.0025;5.45972;NL
Amby;50.86215;5.73226;NL
Alphen aan den Rijn;52.12917;4.65546;NL
Almere Stad;52.37025;5.21413;NL
Almelo;52.35667;6.6625;NL
Alkmaar;52.63167;4.74861;NL
Alblasserdam;51.86583;4.66111;NL
Abcoude;52.2725;4.96944;NL
Aalten;51.925;6.58056;NL
Aalsmeer;52.25917;4.75972;NL
Aalburg;51.75482;5.13156;NL
Camminghaburen;53.20973;5.84318;NL
Amsterdam-Zuidoost;52.3075;4.97222;NL
Matenveld;52.18767;5.99879;NL
Matendonk;52.19766;6.01115;NL
Woudhuis;52.21323;6.01124;NL
Meerhoven;51.44267;5.41102;NL
Grasrijk;51.43916;5.41544;NL
Lunetten;52.06178;5.13474;NL
Aarle-Rixtel;51.50976;5.63839;NL
Berkel en Rodenrijs;51.99313;4.47865;NL
Ypenburg;52.04098;4.36981;NL
Groenswaard;52.05154;4.64541;NL
Randenbroek;52.14863;5.4012;NL
Kapelle;51.48627;3.95804;NL
's-Gravenland;51.92336;4.55315;NL
Marsdijk;53.01766;6.58527;NL
Sant Julia de Loria;42.46372;1.49129;AD
Ordino;42.55623;1.53319;AD
les Escaldes;42.50729;1.53414;AD
la Massana;42.54499;1.51483;AD
Encamp;42.53474;1.58014;AD
Canillo;42.5676;1.59756;AD
Andorra la Vella;42.50779;1.52109;AD
Yenotayevka;47.24559;47.02814;RU
Volodarskiy;46.40134;48.54093;RU
Verkhniy Baskunchak;48.22564;46.72169;RU
Starokucherganovka;46.32476;47.9555;RU
Narimanov;46.6927;47.8498;RU
Liman;45.78457;47.22405;RU
Krasnyy Yar;46.53314;48.34559;RU
Krasnyye Barrikady;46.2045;47.8535;RU
Kharabali;47.41958;47.25678;RU
Kapustin Yar;48.58175;45.74481;RU
Kamyzyak;46.10995;48.07364;RU
Ikryanoye;46.09323;47.73078;RU
Chyorny Yar;48.06242;46.10911;RU
Astrakhan;46.34968;48.04076;RU
Akhtubinsk;48.27955;46.17217;RU
Znamensk;48.5842;45.7338;RU
Zakynthos;37.78022;20.89555;GR
Zacharo;37.48333;21.65;GR
Giannouli;39.66717;22.39597;GR
Xylokastro;38.07762;22.63166;GR
Vrontados;38.40876;26.12948;GR
Voula;37.84221;23.77651;GR
Volos;39.36103;22.94248;GR
Vyronas;37.96105;23.753;GR
Vasilikon;38.42586;23.67189;GR
Vari;37.8332;23.80311;GR
Tripoli;37.50889;22.37944;GR
Trikala;39.55493;21.76837;GR
Ialysos;36.41352;28.15516;GR
Tyrnavos;39.73778;22.28917;GR
Tympaki;35.07286;24.76851;GR
Thivai;38.325;23.31889;GR
Tavros;37.97064;23.69043;GR
Spata;37.96163;23.91514;GR
Sparta;37.07446;22.43009;GR
Souda;35.48717;24.07344;GR
Skiathos;39.16227;23.49089;GR
Sitia;35.20783;26.10467;GR
Salamina;37.96427;23.49649;GR
Rethymno;35.36555;24.48232;GR
Rafina;38.01812;24.00599;GR
Psychiko;38.01324;23.77223;GR
Psachna;38.57852;23.64326;GR
Preveza;38.95617;20.7505;GR
Pyrgos;37.67513;21.44102;GR
Piraeus;37.94203;23.64619;GR
Petroupolis;38.04187;23.68494;GR
Peristeri;38.01539;23.69187;GR
Perama;37.96775;23.5721;GR
Patra;38.24444;21.73444;GR
Paros;37.08333;25.15;GR
Paralia;38.19833;21.70263;GR
Pallini;38.00514;23.88302;GR
Palamas;39.46667;22.08333;GR
Palaio Faliro;37.92812;23.70105;GR
Paiania;37.95527;23.85443;GR
Ovria;38.18866;21.72903;GR
Orchomenos;38.4929;22.97962;GR
Papagou;37.98642;23.79347;GR
Nikaia;37.96667;23.65;GR
Neon Karlovasion;37.79209;26.7049;GR
Nea Smyrni;37.94504;23.71416;GR
Nea Peramos;38.00647;23.42348;GR
Nea Makri;38.08733;23.97642;GR
Ilion;38.03333;23.7;GR
Nea Ionia;38.0357;23.75733;GR
Nea Filadelfeia;38.03491;23.73811;GR
Nea Erythraia;38.0927;23.82223;GR
Nea Artaki;38.52027;23.63296;GR
Nea Anchialos;39.28015;22.81819;GR
Nea Alikarnassos;35.33893;25.15972;GR
Naxos;37.10556;25.37639;GR
Nafplio;37.56863;22.80691;GR
Nafpaktos;38.39167;21.8275;GR
Mournies;35.48228;24.01253;GR
Moskhaton;37.94789;23.6788;GR
Moires;35.05143;24.8733;GR
Mytilene;39.10772;26.55529;GR
Myrina;39.87483;25.06359;GR
Messini;37.05111;22.00778;GR
Mesolongi;38.37138;21.43151;GR
Melissia;38.05;23.83333;GR
Megara;37.99471;23.34324;GR
Megalopoli;37.40111;22.14222;GR
Markopoulo;37.88333;23.93333;GR
Marathonas;38.15317;23.96278;GR
Mandra;38.06667;23.5;GR
Artemida;37.96727;23.99684;GR
Loutraki;37.9783;22.97781;GR
Limin Mesoyaias;37.89108;24.00307;GR
Lykovrysi;38.06933;23.78223;GR
Lefkada;38.83036;20.70442;GR
Livadeia;38.43616;22.87665;GR
Leondarion;37.987;23.85518;GR
Lavrio;37.71445;24.05647;GR
Larisa;39.63689;22.41761;GR
Lamia;38.9;22.43333;GR
Kryoneri;38.13712;23.83055;GR
Metamorfosi;38.06576;23.76356;GR
Kos;36.89295;27.28768;GR
Koropi;37.89886;23.87181;GR
Korinthos;37.94007;22.9513;GR
Kyparissia;37.25111;21.67361;GR
Kifisia;38.07438;23.81106;GR
Kiato;38.01321;22.74839;GR
Cholargos;38;23.8;GR
Chios;38.36875;26.13718;GR
Chania;35.51124;24.02921;GR
Chalkida;38.46354;23.60284;GR
Khalandrion;38.02369;23.80068;GR
Chaidari;38.01135;23.66597;GR
Keratsini;37.9625;23.61972;GR
Keratea;37.80585;23.9774;GR
Kato Achaia;38.15;21.55;GR
Karpenisi;38.91218;21.79836;GR
Karystos;38.01333;24.41611;GR
Karditsa;39.36485;21.92191;GR
Kamateron;38.05586;23.70515;GR
Kallithea;37.95;23.7;GR
Kalyvia Thorikou;37.83894;23.92505;GR
Kalymnos;36.9503;26.98388;GR
Kalampaka;39.70444;21.62694;GR
Kalamata;37.03913;22.11265;GR
Alimos;37.91033;23.72361;GR
Kaisariani;37.9634;23.76523;GR
Irakleio;38.05282;23.76523;GR
Irakleion;35.32787;25.14341;GR
Ioannina;39.66486;20.85189;GR
Igoumenitsa;39.50342;20.26728;GR
Ierapetra;35.01186;25.74234;GR
Glyfada;37.86289;23.75802;GR
Gazi;35.32531;25.06694;GR
Gastouni;37.85;21.25;GR
Gargalianoi;37.06518;21.63809;GR
Galatsi;38.01667;23.75;GR
Filothei;38.02524;23.78257;GR
Filiatra;37.15637;21.58532;GR
Farsala;39.29472;22.38472;GR
Ermoupolis;37.44466;24.9429;GR
Elliniko;37.89013;23.74406;GR
Elefsina;38.04135;23.54295;GR
Elassona;39.89472;22.18861;GR
Ekali;38.11035;23.83505;GR
Dhrosia;38.48413;23.54774;GR
Drosia;38.11977;23.86428;GR
Dionysos;38.10458;23.87938;GR
Dhafni;37.95002;23.73437;GR
Agios Stefanos;38.14657;23.85608;GR
Agios Nikolaos;35.19106;25.71524;GR
Ayios Konstandinos;38.63337;21.3995;GR
Agios Dimitrios;37.93333;23.73333;GR
Agia Varvara;37.98938;23.66011;GR
Agia Paraskevi;38.01667;23.83333;GR
Avlonas;38.25149;23.69554;GR
Athens;37.98376;23.72784;GR
Aspropyrgos;38.06134;23.58971;GR
Argyroupoli;37.90594;23.75035;GR
Arta;39.16014;20.98561;GR
Argostolion;38.18109;20.48903;GR
Argos;37.63333;22.73333;GR
Ano Liosia;38.08333;23.7;GR
Anoixi;38.13267;23.85874;GR
Anavyssos;37.73414;23.94389;GR
Anatoli;39.63531;20.86578;GR
Amfissa;38.52813;22.37713;GR
Ampelona;39.74481;22.36575;GR
Marousi;38.05;23.8;GR
Amaliada;37.79842;21.35068;GR
Almyros;39.18222;22.75944;GR
Aliveri;38.41667;24.03333;GR
Acharnes;38.08333;23.73333;GR
Aigio;38.24861;22.08194;GR
Aegina;37.74667;23.4275;GR
Aigaleo;37.98333;23.68333;GR
Agrinio;38.62139;21.40778;GR
Agria;39.34078;23.01258;GR
Rodos;36.43556;28.22199;GR
Afantou;36.29354;28.16225;GR
Archangelos;36.21492;28.11487;GR
Giannitsa;40.79194;22.4075;GR
Xanthi;41.13488;24.888;GR
Veroia;40.52437;22.20242;GR
Trilofos;40.46898;22.9718;GR
Thessaloniki;40.64361;22.93086;GR
Thermi;40.54712;23.01967;GR
Sindos;40.67045;22.80545;GR
Sykies;40.64944;22.95083;GR
Sidirokastro;41.23499;23.38899;GR
Siatista;40.26194;21.54417;GR
Serres;41.08499;23.54757;GR
Ptolemaida;40.51472;21.67861;GR
Polygyros;40.37704;23.44135;GR
Polichni;40.66671;22.94881;GR
Polykastro;40.99444;22.56909;GR
Plagiari;40.47276;22.9579;GR
Chalastra;40.62643;22.73291;GR
Pylaia;40.59918;22.98613;GR
Peraia;40.49874;22.92617;GR
Panorama;40.58779;23.0315;GR
Orestiada;41.50306;26.52972;GR
Oraiokastro;40.73083;22.91722;GR
Neoi Epivates;40.49863;22.91192;GR
Nea Moudhania;40.2439;23.28484;GR
Nea Michaniona;40.46371;22.8617;GR
Nea Kallikrateia;40.31312;23.06343;GR
Naousa;40.62944;22.06806;GR
Menemeni;40.65829;22.89712;GR
Litochoro;40.10056;22.49778;GR
Lagkadas;40.75;23.06667;GR
Krya Vrysi;40.68738;22.30516;GR
Kozani;40.30069;21.78896;GR
Koufalia;40.77778;22.57194;GR
Komotini;41.11917;25.40535;GR
Kilkis;40.99302;22.87433;GR
Chrysoupolis;40.98556;24.69389;GR
Kavala;40.93959;24.40687;GR
Katerini;40.26956;22.50608;GR
Kastoria;40.52165;21.26341;GR
Karyes;40.25715;24.24498;GR
Kalamaria;40.5825;22.95028;GR
Grevena;40.08452;21.42744;GR
Florina;40.78197;21.40981;GR
Feres;40.89305;26.17234;GR
Epanomi;40.42614;22.92782;GR
Edessa;40.8026;22.04751;GR
Drama;41.15283;24.1473;GR
Didymoteicho;41.34806;26.49611;GR
Diavata;40.68744;22.85799;GR
Asvestochori;40.64125;23.02528;GR
